Column1,Column2,assigned_cluster
-76.9666237664,52.6086532958,0
842.274455948,1348.70553687,2
1298.5348669,916.156081405,2
2245.9120415,-878.923037447,1
-0.939502987318,-168.574868028,0
87.836106179,-1172.68486048,0
876.184012336,1170.29070499,2
2254.89804757,-922.380571116,1
1698.09263679,-780.025145289,1
127.783435376,7.0022679126,0
1716.65231666,-1274.06159774,1
214.144280202,-694.499634583,0
79.4495659681,-11.7301456678,0
-137.287627236,-130.72587352,0
105.844186744,-41.8479793052,0
613.409940846,1107.44901933,2
1610.49055475,-940.932624452,1
-25.2751309893,-106.584639132,0
1227.04747843,1251.07722784,2
847.814342139,799.30413982,2
-183.486893072,1690.13990767,2
-86.7721917555,-35.4806219825,0
1919.13968187,-992.44943392,1
50.3974725957,65.4924580269,0
1168.12944727,981.234097045,2
-142.561326316,57.4547763983,0
1776.95601927,-753.608271687,1
663.505569983,896.874130208,2
1663.12509304,-1300.52633583,1
361.730957225,2.55106738838,0
912.505463895,1200.97327893,2
870.565686817,574.663350612,2
1692.21683619,913.478858111,2
1765.9434313,-802.225767448,1
1188.14239069,-650.01632307,1
-61.5689577189,67.5647088474,0
2018.87245351,-882.825168078,1
52.2834155696,-234.203714797,0
969.735053883,831.692311762,2
1443.78405871,-1092.60158386,1
1220.29459743,1042.71398441,2
-97.2916035199,80.1872521266,0
1834.56419873,-1186.27480781,1
1860.30051649,-1025.26852202,1
947.157022535,1137.30335447,2
2263.00201833,-1058.96274573,1
-276.335050829,-155.351604879,0
2111.93619541,-690.689004367,1
1969.71006737,-989.483563371,1
-106.09682437,106.590188791,0
734.671563201,1043.19734144,2
1153.64939012,1118.10699549,2
39.7158760564,-34.7419581159,0
874.947301586,1014.44760522,2
2170.58278474,-1188.63580843,1
1793.40347038,-867.717436732,1
831.934263651,1209.70475625,2
1076.33904689,673.022470025,2
1794.15472249,-901.887955681,1
2273.76493689,-1244.55533173,1
880.365499717,1137.90073988,2
-13.6743134912,-163.909291005,0
761.267002618,1259.82532461,2
1108.61261159,809.300926458,2
1789.87260506,-839.142112544,1
801.620285363,1411.57240233,2
1712.05383714,86.7903118766,1
-106.250898326,24.6844125718,0
1941.58960221,-1104.98639472,1
2009.62043982,-437.866336508,1
97.2172576621,171.405859871,0
1677.37511209,-1026.29927214,1
-50.3367316159,25.2280819122,0
1.17545706601,-220.695083557,0
1242.15807927,127.160194699,2
1407.44172334,1273.28213686,2
955.520856025,971.802454592,2
970.136500641,795.259648747,2
1043.40369333,818.853326432,2
991.337173757,745.041075461,2
1125.3792453,820.198549096,2
2180.31382109,-1042.27303936,1
1754.19996414,-794.217209778,1
1997.22824114,-1047.03951552,1
1784.32980387,-1089.4572113,1
1904.58646234,-774.802733642,1
-76.9578348307,-5.58697152805,0
1216.40263147,655.871724467,2
2134.34366762,-1049.18444213,1
1264.79626743,768.874646326,2
1860.18153901,90.7204610488,1
-143.574025091,30.3561235821,0
60.6672635825,45.4994462902,0
1047.43561412,941.442236525,2
907.648331376,842.836070295,2
1877.00905332,-1062.47318554,1
-55.6064879049,-0.094185215934,0
1902.38380674,617.694977219,2
2073.44768841,1011.04718136,2
1944.52037337,-900.22565988,1
1580.03761915,-1227.77574225,1
1697.07206965,-963.072611173,1
-35.6637640036,49.0317692137,0
-190.611220988,56.9997086192,0
-118.568165571,329.18533065,0
2169.0695569,544.709991885,2
2118.78243625,-769.3880461,1
1832.64475164,-1008.6138486,1
2099.64178968,-1195.22136873,1
1035.56744426,1519.24013182,2
97.5102424009,-17.3028378244,0
2049.64266211,-1119.54687216,1
1643.26367788,-1525.76186628,1
153.100585442,165.408798982,0
1536.32671633,997.071086904,2
1170.28958094,882.908360794,2
94.4195809466,-237.799318954,0
96.6197960857,-68.5599292665,0
1097.15857946,851.463935352,2
2011.61031401,-443.916128192,1
1655.59479635,-1251.24799682,1
996.196615706,1122.56022851,2
625.208490778,769.414153748,2
2185.26548633,-1337.0148009,1
129.553170653,-111.642559067,0
1167.41231081,1341.79310391,2
2248.95111215,1413.4324342,2
1992.99510384,-972.836228377,1
1969.3302109,-1281.72426688,1
1150.43728128,-1599.01834277,1
9.25766045167,-821.57371304,0
112.339506501,99.6139803324,0
73.4807918778,-16.1212748495,0
1312.28634555,1034.33611428,2
894.156867528,941.160098651,2
700.867405562,1496.52286781,2
875.950458683,901.492713938,2
1150.5387225,1078.71968415,2
1160.79202246,1035.83443908,2
912.748233432,1371.42024595,2
496.563984416,-380.390644788,0
-110.478878846,-8.00556939765,0
1671.12148832,-833.572735811,1
-58.5918749344,-44.4882488384,0
1028.70158264,-816.496502129,1
1098.44437993,1303.85579415,2
858.726713053,931.178143441,2
-109.682253057,76.5227828415,0
1409.79021525,1167.02253876,2
2095.02024207,-1033.46234418,1
1788.14150572,-1151.87416533,1
914.954650878,1079.19570328,2
1413.26875281,751.37972994,2
2341.96970625,-941.269154984,1
907.543654474,1215.15705662,2
1281.71259314,1254.11544877,2
618.816059283,1159.07409166,2
1874.05352179,-782.798347498,1
943.837633153,904.26113373,2
359.845990505,220.159608181,0
2139.53403725,-1307.0927931,1
1995.65497103,-1173.80848155,1
783.024879964,591.186911153,2
972.249969723,949.334203331,2
203.128669246,-589.304496377,0
2150.44416234,-1012.69225921,1
1647.23402757,-940.790707325,1
2096.9555624,-1295.20398075,1
886.112235195,830.286903313,2
-11.2774924874,-52.6364083506,0
61.645393227,-72.5436007668,0
990.635567044,1222.06125139,2
-183.973566191,-179.102253549,0
1240.68695896,1075.73104219,2
1612.37539956,-1104.57063717,1
-45.1113289315,22.425242519,0
811.336502708,1031.3007293,2
656.446489584,629.330429876,2
21.2183772162,79.2182102615,0
1005.20851324,820.521421296,2
1748.17359109,-854.258374279,1
1894.1195816,-912.051453571,1
2275.97091768,-1097.18114579,1
1788.56818104,-824.409476544,1
-134.191625668,68.6363775443,0
1651.18925727,219.985199905,2
1956.78597176,-1053.83506183,1
119.037683124,520.699222833,0
-107.602942441,165.866830241,0
-22.360507164,1.90470541633,0
1262.83365365,868.074477939,2
-0.266396538293,-91.7235256646,0
2349.77144873,-1116.78104883,1
1745.49624682,-694.197375974,1
579.271655621,1272.35749866,2
1068.86203408,598.21064406,2
672.897500634,1847.61908109,2
200.626470811,-982.202155191,0
974.607255208,576.204297054,2
69.5024461355,-221.071525819,0
-33.7357504166,-162.773836718,0
1968.67008522,-1033.67748092,1
2095.12334983,-1051.36511048,1
1030.92605554,961.340599612,2
-73.3576622534,-95.6388561556,0
319.212785998,-996.605028086,0
1446.87823075,878.5106961,2
-133.553155149,-96.5483449476,0
1115.81125343,1282.8857993,2
15.0852789117,-31.6722550971,0
1402.02121739,854.198729772,2
88.8055927537,-254.576695956,0
1024.81599883,1056.82343094,2
901.147725971,1417.87437585,2
322.638641388,-1008.46638906,0
1495.39641803,-532.845921603,1
938.464998692,725.222742065,2
2170.26891697,-1070.6164554,1
-131.743435712,-23.588215631,0
86.9371120889,-272.660168288,0
-32.7416764234,-49.2377838891,0
2488.15143569,-822.360949334,1
1983.06454486,-881.500169287,1
37.78983713,-123.19555757,0
698.946258928,747.110233318,2
2146.66686238,-1240.03600733,1
1936.94893201,-719.140696762,1
1719.87367256,-593.325722943,1
1947.81713113,-938.64550558,1
1523.93603265,-223.49828185,1
1345.9096434,903.746723802,2
2308.23805552,-1187.08118889,1
1166.49638686,696.407065833,2
-25.3516579668,23.2461626945,0
195.136251982,-137.827559562,0
2045.82977539,-984.567870577,1
160.772930617,-105.074331648,0
1900.27128641,-1444.87869941,1
1.88308767317,61.6548785021,0
1938.29307597,-1175.1109715,1
-141.075135566,2.39427016168,0
98.8066047406,20.3157563438,0
1000.31975417,1124.34886406,2
1936.69024136,-952.097638408,1
2232.16708916,-780.879792191,1
1966.79836156,-1246.82436765,1
1888.85916041,-1286.74558344,1
0.324784274945,165.869296067,0
781.973157602,1104.82551524,2
806.895060726,648.430908069,2
944.723253704,-1435.91911176,1
1045.13563817,633.273443502,2
128.287109665,5.44154750136,0
2294.95351056,-1111.59790159,1
-30.0876021468,29.517790744,0
562.407107986,-490.775996914,0
112.645369545,157.250509239,0
52.9404927026,-58.0845529361,0
983.564687477,1332.10347823,2
-143.148402402,201.611214262,0
2343.09995539,-1036.62165566,1
976.698697517,745.241303038,2
54.9783549311,144.222742904,0
2156.14013777,-1004.88228953,1
-219.889049194,99.8780128149,0
-86.4411895227,143.672484517,0
1687.43092221,-1439.85339404,1
879.614125513,932.813460738,2
89.7223139231,-364.075636581,0
1036.41877866,790.653594855,2
167.149133134,92.2446332856,0
1043.85393048,696.297220011,2
620.534020288,972.955551531,2
55.7730848306,1607.17573739,2
56.6031241008,2.41892928984,0
206.196505367,-1578.47917282,0
726.874515078,1376.98244395,2
596.609111679,86.190713233,0
1134.5566001,889.429409018,2
812.445034625,1179.4686951,2
94.4588247982,197.06881953,0
2166.39908411,-910.843957519,1
713.290346714,-985.216640393,0
2154.33019172,-711.737984487,1
951.005889272,832.93050555,2
1221.21118853,1301.53506104,2
46.914684865,9.83785692464,0
323.190548605,1127.19966056,2
765.387965321,986.875159722,2
-56.4688644026,-8.08382220946,0
639.58795036,1067.37541129,2
-25.7768061217,-60.0240639512,0
1990.65000686,-1242.15824544,1
517.722664655,1428.86035634,2
-5.81521377689,-5.10497224483,0
846.806281949,1263.68983985,2
-23.9119834989,-72.9650848927,0
-42.5225843582,-29.0919224992,0
1260.30385758,1126.65677,2
1879.82485046,-833.337709492,1
1949.52037264,-897.163247742,1
2066.68830988,-822.106542895,1
-116.088552087,-39.2882116087,0
-56.2410099636,157.508112849,0
2119.47209607,-1097.83206635,1
-164.844777248,104.121565256,0
-38.8692490342,1811.31665291,2
-74.5244920245,130.342017415,0
909.827382051,736.559007754,2
-3.0251851399,38.034603392,0
1881.5518824,-615.934268195,1
1841.74451554,-885.395385575,1
965.44239564,455.57856954,2
172.929488273,113.612824697,0
891.918149822,-44.4827805992,0
1072.68749098,874.660585091,2
164.369469981,23.4500850291,0
-134.415599402,47.7004141615,0
20.1134867573,-103.283427388,0
1075.170152,745.309130143,2
66.9953522407,-60.9014574629,0
2282.13509823,-939.574658459,1
2122.69884979,-1175.72816962,1
-126.637655759,76.9871527649,0
1931.90053294,-1181.23157482,1
81.2870074927,33.4304281259,0
-34.8859082262,68.5169437458,0
1814.9069492,-692.250372717,1
1924.53883195,-1107.76876217,1
1302.76807886,1022.19567528,2
-74.8651543934,-30.4031126129,0
1937.62970985,-719.000374861,1
1921.93836888,-881.823247093,1
950.244279995,540.81142858,2
33.0370743513,88.4741204203,0
-117.808144348,69.410520564,0
-169.598820271,565.849374596,0
-101.843252016,-32.1978486375,0
108.157559456,60.832883514,0
1827.0130544,-627.115613388,1
1145.86103666,900.931540978,2
1978.3322145,-614.785592197,1
77.3621368487,36.1443676152,0
2171.11190617,765.286336576,2
-74.837628352,36.1960447449,0
225.588452528,1491.84728739,2
1718.43081035,-1130.47361996,1
926.285883858,863.332400059,2
10.8483594541,125.349995735,0
2345.23208437,-643.254465369,1
865.670945543,840.545381697,2
2085.06218936,-1144.12050242,1
2057.24762036,-626.250289217,1
48.3287419539,36.5173516784,0
2122.02955245,-1029.28911206,1
1428.18594024,-1356.70494372,1
-27.8533738123,6.95720659553,0
155.773516125,-10.9693668192,0
2004.65658086,-721.520324594,1
1918.00909612,-1399.63196756,1
1924.60481221,-1302.20803679,1
799.404214593,911.1061037,2
-93.7527244245,28.5723576695,0
48.8166122521,-100.899164545,0
1219.24070336,609.298664804,2
1960.40549091,-1244.19461692,1
1010.81649443,1240.35273868,2
2008.26300227,-1158.14076875,1
744.874072831,785.878915604,2
108.969354335,-103.756947183,0
880.898661222,1014.70530239,2
1802.92134934,-1140.32265263,1
1128.51980678,909.317456005,2
1160.73965685,735.286160963,2
1184.34378738,920.471566866,2
-41.7662843783,-126.305028538,0
2373.19691365,-1508.12711762,1
779.895280222,1093.87658527,2
126.655065596,-129.19824695,0
1664.59477173,-824.251322398,1
983.773051847,1118.3911983,2
2006.30211063,-857.859161547,1
1081.13903468,950.479208557,2
842.722118049,936.383017805,2
-22.5565144301,142.491400312,0
178.593595416,-134.066764937,0
1293.32112911,1069.37833064,2
1520.33178621,1010.69622936,2
-291.414453211,1387.99804068,2
1152.93388714,-1094.52899867,1
1993.89301365,-1129.0402728,1
2170.55512522,-648.959839522,1
-108.440154163,206.561763355,0
2102.91257032,-850.604537806,1
-83.77418465,54.4311017259,0
154.145721497,-64.6490164308,0
1961.68760337,-1036.38535105,1
-76.9306689454,-1534.72488696,0
106.760061534,198.144185107,0
2410.69559948,-373.575735248,1
30.5935842269,-42.3813060981,0
1301.95516317,692.509292446,2
2346.7208757,-880.221511805,1
1308.11933114,-1028.72720746,1
1673.95686488,-1071.0605819,1
92.6524260226,-292.523082438,0
15.8648116036,-573.17799516,0
-27.9659158493,4.73806799534,0
-164.223721169,154.564864838,0
1182.69923841,-734.336544201,1
2285.74794833,-1000.62557492,1
2276.06723419,-756.484253156,1
2209.57851335,-943.701550306,1
-34.9479084497,-129.109356412,0
22.7351899722,277.072506683,0
102.791817041,250.775254627,0
2308.21036892,-1370.19274467,1
738.179227744,1152.42018962,2
2016.79480248,-1443.41298259,1
677.257655187,1435.6686279,2
1958.07869592,-918.557140326,1
132.566460986,-32.0894088759,0
527.14659784,528.017651317,2
1085.14267164,1068.5678743,2
-50.194787182,74.1299778028,0
5.60673071735,-53.0653157973,0
88.9454502455,-132.861020696,0
11.8447299025,-40.062106749,0
271.626254345,-823.836754237,0
1043.89318226,1456.52496974,2
1347.30432953,108.545746924,2
-29.521730242,98.9644286482,0
1949.63716875,-1020.40753376,1
95.6398241193,159.830400214,0
1781.96804154,-802.943494164,1
757.556313726,605.614400959,2
1877.46698324,-1088.05191862,1
1086.19184897,1084.60621408,2
1779.06429871,-1011.79352412,1
-44.3009880318,185.336912427,0
-6.29665928088,35.6794912864,0
1887.97841427,-1098.69644028,1
2111.7084067,-1161.27878548,1
1119.33730744,1030.63297856,2
1036.17113216,1185.01172036,2
694.28667558,820.109701307,2
-177.729313718,-51.5862650169,0
-87.6246207157,55.3799438384,0
1429.83973,620.178807131,2
1006.29705207,1073.11728154,2
1056.46524504,928.032662634,2
1027.07212083,1194.04290039,2
-15.2756635984,-133.491514623,0
-73.1845390974,120.276041378,0
8.14281741427,-160.277212017,0
2437.92278069,-759.682461039,1
1956.25695332,-1056.9084774,1
924.231312015,1035.94741856,2
-49.4407878401,-585.958372981,0
1981.19816418,1144.09870763,2
-26.032188206,45.2175915577,0
1143.37296559,917.174474132,2
1783.51327121,-883.766970218,1
1918.76066316,-1141.82447743,1
1771.79498734,-946.320295144,1
26.7735543563,1.60360175405,0
1363.80600844,1432.17215193,2
-44.3861695522,-657.273546451,0
1327.54260077,882.350667976,2
68.6893524518,-54.2640012979,0
-106.848009452,-85.6686076179,0
617.963742079,1321.35343071,2
2105.87670722,236.395507287,1
1607.71009721,-1210.76937297,1
2014.03089293,-737.372644805,1
2252.27336749,-1003.06042685,1
1129.58757564,937.70042893,2
-63.6377872819,-91.4128873376,0
-31.5660134008,88.2409826149,0
2362.84940111,-1102.79877761,1
-162.485263479,58.3019501943,0
1883.25812812,-781.808053687,1
569.031605567,1431.51238478,2
163.251544618,67.5863727227,0
885.851893266,541.321425706,2
2131.86722883,-850.493835596,1
22.2595972651,-3.14316007625,0
1590.43118277,-775.309319596,1
1863.83639572,-751.449990346,1
44.8014922154,50.2378127481,0
984.080085247,876.087507456,2
2128.40695729,-807.823321763,1
1847.90388187,-774.970162717,1
907.116327869,1161.40554496,2
1871.38343633,-989.675009859,1
1676.27011368,-1310.2513759,1
1345.13093459,783.267618911,2
1341.80167509,1355.32817802,2
2074.42621269,-1183.34961646,1
1889.30794456,1847.32094338,2
1840.96753505,-1261.87733582,1
319.016540296,713.794372029,2
1963.17561398,-894.430188148,1
1488.6654453,511.34913951,2
290.359691969,1661.4633882,2
-29.8474772118,28.609984528,0
-14.9340224009,29.296323591,0
94.4108037072,-359.747928283,0
1069.08292054,928.504357216,2
831.638388953,809.491247533,2
2212.53377549,-794.099985991,1
-127.398169607,-78.9815268333,0
1015.5111745,915.014131796,2
883.09523817,892.72578033,2
1097.7570045,1175.06655593,2
142.248168129,16.632957177,0
-272.520788491,157.69581716,0
2224.3474171,-1199.05004798,1
914.75979693,1024.38854896,2
802.277190688,1209.05953234,2
1152.06225159,1009.89916076,2
1108.78589291,792.456139764,2
2110.68345137,-1166.48310196,1
144.592701407,-1491.16087524,0
-37.9104647123,-22.4631192398,0
1924.23877742,-1240.61089768,1
1908.51935062,-845.004063413,1
111.325831149,-51.5511818262,0
950.420870047,1087.61696696,2
879.225125286,732.024690864,2
2076.13385073,-1200.85656924,1
1011.67454091,1250.9715947,2
276.412710727,1386.67486071,2
1725.59287218,-1054.88667853,1
1903.36890223,-609.932359015,1
107.896030172,127.851599757,0
-16.5702973917,109.296912452,0
-123.098867875,-50.6182393904,0
1407.95880595,500.865743484,2
1833.05438352,-635.061471106,1
150.925132035,-46.4364518791,0
1111.73171869,930.584304238,2
1203.73045064,910.582830649,2
2001.36850288,320.331637636,2
837.775499248,1146.08513776,2
731.788477035,905.751531264,2
346.218315156,-0.0651770753397,0
151.878259421,75.9190328403,0
-193.408589535,-72.7717052285,0
-109.197280058,18.0573208509,0
1871.5435581,-1292.98778858,1
-5.41129415857,-47.1126143023,0
1044.10297634,846.724340139,2
1996.23738594,-841.213211063,1
758.669051829,1012.36090412,2
866.707586821,1083.45702043,2
-6.63970146077,30.3793702006,0
1512.32222059,597.107659597,2
-172.285871445,1356.94259189,2
166.66582365,7.24480298364,0
1098.80140391,886.860559806,2
2364.53949351,-731.152019362,1
2026.10664896,-690.541267792,1
2079.8538704,-933.716420727,1
-126.815831287,-175.380158258,0
2009.94031294,-1328.64550585,1
1727.00654729,-1188.33422356,1
369.586670187,1151.79002885,2
1731.67901164,-832.190030874,1
942.844169405,899.998214229,2
2585.63785833,623.864780408,2
-218.292161742,-62.6695696272,0
1827.47425581,-187.116754327,1
2232.60812787,856.848900667,2
1267.96651703,953.336293731,2
103.479176823,51.6909736748,0
322.424395066,-1433.12894147,0
-131.046520841,-125.870051549,0
892.467800817,1313.12595598,2
1232.74927582,1076.99743884,2
1199.3869044,458.617121549,2
564.07383533,1062.55547549,2
935.120720484,810.713808254,2
1083.30034298,891.744669096,2
551.512957121,599.141870936,2
1084.13609599,114.472968302,2
1199.72398597,1102.87913754,2
40.0162339997,-153.64373999,0
99.0582541371,1078.43839348,2
1265.96364606,993.72504676,2
1796.61068504,-1149.29856368,1
-32.2984248253,-101.429478558,0
72.4161008789,42.3830505037,0
790.540070484,1406.93573268,2
-77.8841308123,-343.201110617,0
1121.3828351,839.667630808,2
1211.85220264,949.385189428,2
-220.371990215,-9.61000691745,0
2222.81393294,-674.266959444,1
19.1710704514,86.4170760644,0
-85.6229569734,-38.7747315527,0
765.296319085,813.432925036,2
2288.74888099,-1094.44772566,1
408.596856518,392.338333451,0
2035.05672204,-1009.9137145,1
17.691329692,90.919906938,0
1049.61743233,1183.72711849,2
728.605057048,1000.86399386,2
2094.88311453,-1118.05637276,1
903.449931921,963.670901001,2
304.919600357,-33.4570932173,0
6.64422222974,-102.717284179,0
1199.94561155,939.507227943,2
2066.72489365,-797.074501904,1
2036.92130924,-666.965223478,1
1219.7734213,1494.76793198,2
2097.91266721,-654.463042716,1
2073.17766459,-808.586958312,1
1003.938679,800.517934473,2
682.025230588,973.723326517,2
1102.95399973,1101.8603959,2
2005.85638333,-736.314630789,1
762.141780167,1164.32863401,2
-54.441442622,89.5314431946,0
260.780510939,-3.15762866537,0
69.1035834425,118.778969151,0
37.8698335819,-24.6246357205,0
-131.363542834,94.1926033933,0
-106.190653884,-179.15402469,0
-135.031787959,-47.271751233,0
-11.0137398716,-52.997220587,0
71.3551046826,146.032717418,0
398.03067024,961.965544585,2
162.248980285,102.286077965,0
817.194986324,1196.15860326,2
1761.03903589,-791.097304269,1
2408.41672963,-1037.26272808,1
296.886774575,123.370133703,0
101.328065716,65.6392709793,0
840.095979438,1288.02499846,2
1002.33834088,1104.68844343,2
2286.50031958,-973.824337632,1
2286.25223279,-1201.97267452,1
1933.96116529,-1481.54411062,1
33.1577960278,54.593484048,0
1678.22612516,-1174.90008688,1
-110.562932951,125.585914371,0
25.3885421046,-76.5583190259,0
1876.78945281,-994.392541039,1
1034.30179703,853.646958754,2
1643.55690068,-1268.42531394,1
1715.17108535,-720.850048153,1
2083.31881758,-1512.25238312,1
1855.30776336,-1357.61616235,1
2378.44418542,-1073.93078065,1
835.611684398,1098.10396864,2
-121.053007412,-72.8510014123,0
-29.1528620357,-62.580952823,0
164.247916749,88.7811989287,0
1654.45053006,-1118.26051182,1
1101.20100064,940.454364853,2
13.7163466533,89.8169088175,0
1197.84204267,499.454525815,2
1043.46660509,965.425472287,2
2114.83790288,-1181.41810035,1
2395.02856172,-572.192275346,1
2027.55659026,-755.673892969,1
1924.06102484,-1150.75938442,1
1081.87433676,1088.25892798,2
726.739206378,982.342154975,2
190.188106749,-20.0820899854,0
-92.63836585,-27.6928817962,0
902.511360499,1202.06186787,2
1564.51883909,-1028.36315298,1
2034.50170555,-1051.56866365,1
-147.236172748,301.007673875,0
0.166939447695,-164.48214684,0
765.058314783,543.746703516,2
877.44103175,956.97256516,2
708.440381384,1172.49051142,2
734.76889871,1021.8783694,2
1962.19163022,-856.195805786,1
-103.810452507,17.1618328703,0
370.887273782,125.576337812,0
2305.33514311,-997.893908324,1
1886.75091683,-375.152077777,1
-30.0702500899,122.167059331,0
943.983829953,1618.1543854,2
1671.08232966,-1211.14540703,1
-103.649672414,-14.4377613588,0
76.3061526504,64.485376148,0
1272.33366489,158.706607299,2
930.054231178,1361.21545797,2
1140.7468575,891.023122186,2
1938.06518006,-821.059764399,1
-156.542389537,-54.6986372946,0
1173.13159443,761.317179781,2
2151.01728142,-911.276291995,1
1909.65032131,-933.484365272,1
2346.65632661,-1172.02664431,1
2104.78884083,421.191165084,2
2132.37724601,-1038.76060342,1
896.467898482,1212.70224046,2
1115.3145921,1041.0746602,2
82.708695891,-83.2601231209,0
904.301334217,1341.54511921,2
973.581390937,609.086602035,2
531.252560727,960.318830108,2
1907.55650758,-955.00740755,1
1900.32171866,1360.31304665,2
991.0693411,1135.524769,2
974.283483162,996.440464971,2
117.073528742,101.255008909,0
96.3416563407,-171.715709325,0
875.161856462,1195.0077404,2
126.901029546,-59.9864924842,0
2535.47250348,1547.07154124,2
1621.98682666,-1321.69996245,1
1911.01569751,-1214.67023033,1
776.458945881,823.516031593,2
1908.49522643,-1044.37574042,1
1604.49766056,-1069.68225426,1
-44.8844881732,172.605460974,0
1067.51585862,1237.20464811,2
1741.82355838,-1369.65376073,1
6.88607609539,-74.9002889211,0
983.151750399,1041.58127933,2
150.439076112,62.5202736226,0
2158.69297816,-1126.70056672,1
43.4784668993,865.569293983,0
1806.21536235,-1121.95105298,1
1608.19725654,702.326588525,2
793.363086248,-630.980840213,0
24.2005583755,88.9014029826,0
1851.57591243,-1058.03202615,1
1135.75595822,615.701361504,2
1102.55776894,951.91873661,2
916.229576075,1073.12114682,2
-29.6440106019,102.597178622,0
578.638178259,1034.30072442,2
1948.61215551,-916.429544133,1
2570.02081283,-660.637624995,1
-98.3594098802,-89.6480377121,0
83.6251251414,-118.262309358,0
2085.0580146,-779.561709165,1
45.0530956902,25.8296237732,0
2262.27400281,-1195.98218954,1
-48.1394973539,-69.8426428888,0
2269.75585068,-289.183311402,1
1167.6222056,899.495363364,2
159.052580529,2.35272930018,0
1953.03279763,-1030.41869399,1
-167.773484453,-18.2164338774,0
1838.88267797,-1219.36051532,1
2270.16735201,-910.476627638,1
886.6634761,1244.23556506,2
1233.47982753,1220.90652269,2
2092.60169347,-904.940168755,1
1094.04733645,917.688475845,2
1938.7150321,-866.089523918,1
2331.2155684,-1249.36688902,1
1014.0265264,1051.17119273,2
1139.06455333,1051.85952777,2
50.7801344063,-3.84675037606,0
1984.17634551,-965.644760515,1
1071.08438259,836.16351077,2
891.295263298,552.60179783,2
2032.7982569,-874.491777383,1
819.455421087,922.404343689,2
994.769779562,711.18015499,2
1120.92257263,842.453867665,2
107.372385061,47.6644469842,0
2196.21122735,-1216.40088252,1
2203.29967167,-1030.04162707,1
1306.59887957,1419.5202592,2
1928.72934658,-978.955059572,1
2180.80059158,164.65930526,1
1775.10901268,-992.56037334,1
2492.17132492,-1355.87351204,1
1170.52274636,777.455542251,2
112.418234572,27.149742623,0
2135.58665377,-687.581246817,1
-129.765263361,-1222.3514617,0
-44.729244328,-156.284496337,0
823.384494612,820.255184353,2
876.01108565,1029.57710733,2
34.3886454123,219.33346347,0
532.244326456,969.544678264,2
2174.65705946,-1153.08861379,1
2169.36535421,-819.129915434,1
2605.18141588,121.427100635,1
2158.03123722,-1080.44025086,1
1826.0379912,-1171.78708085,1
1859.29684259,92.3632396789,1
1215.89417037,858.704445449,2
-50.718251188,-129.891039953,0
2069.63175009,-1195.57414849,1
935.252647278,1249.82468685,2
118.628587304,-29.369939906,0
1107.22733141,1059.14296445,2
2142.95337837,-1014.88691745,1
1462.66406061,1024.54747395,2
